N,Processus,Temps_Scatter,Temps_LocalSort,Temps_Sample,Temps_AlltoAll,Temps_Merge,Temps_Gather,Temps_Total
100000,1,0.0000,0.0072,0.0000,0.0008,0.0009,0.0001,0.0090
100000,2,0.0000,0.0034,0.0000,0.0006,0.0011,0.0001,0.0053
100000,4,0.0001,0.0017,0.0001,0.0003,0.0006,0.0001,0.0029
100000,8,0.0002,0.0008,0.0003,0.0003,0.0004,0.0002,0.0023
1000000,1,0.0002,0.0887,0.0000,0.0077,0.0093,0.0007,0.1066
1000000,2,0.0006,0.0420,0.0004,0.0057,0.0105,0.0009,0.0601
1000000,4,0.0007,0.0214,0.0013,0.0030,0.0064,0.0012,0.0339
1000000,8,0.0012,0.0096,0.0012,0.0025,0.0048,0.0017,0.0210
10000000,1,0.0024,1.0164,0.0000,0.1070,0.0995,0.0153,1.2406
10000000,2,0.0054,0.4841,0.0033,0.0623,0.1064,0.0152,0.6767
10000000,4,0.0067,0.2346,0.0033,0.0327,0.0640,0.0128,0.3541
10000000,8,0.0095,0.1434,0.0201,0.0303,0.0586,0.0251,0.2871
